RAP	MSU	Gramene	Symbol	GO	TO	PO
Na	Na	GR:0060167	[CMS-54257],[cms-54257]*,Cytoplasmic mutant induced by somaclonal variation,CYTOPLASMIC MALE STERILITY 54257, [cms-54257]	GO:0000001,GO:0007275	TO:0000232	PO:0009066,PO:0025007,PO:0009029
Na	Na	GR:0060144	[CMS-AK]([CMS-JP]),Akebono' cytoplasm,CYTOPLASMIC MALE STERILITY AK,アケボノ（日本稲）型,[cms-ak]([cms-jp]), [cms-jp], [cms-ak], 'Akebono' cytoplasm	GO:0000001,GO:0007275	TO:0000232	PO:0009066,PO:0025007,PO:0009029
Na	Na	GR:0060145	 [cms-ARC] [mt],[cms-ARC]*, `ARC13829-26' cytoplasm,ARC13829-16 cytoplasm, [cms-ARC],CYTOPLASMIC MALE STERILITY ARC,[CMS-ARC]	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060146	[cms-bo], `Chinsurah boro 2' cytoplasm, 'Chinsurah boro II' cytoplasm,[CMS-BO],boro型,Chinsurah boro II' cytoplasm,CYTOPLASMIC MALE STERILITY BO	GO:0007275,GO:0005739	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060147	[cms-CW],CYTOPLASMIC MALE STERILITY CW,Chinese wild rice cytoplasm,[CMS-CW]	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060151	 [cms-GAM],[CMS-GAM],[cms-GAM]*,Gambiaca cytoplasm,CYTOPLASMIC MALE STERILITY GAM	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060152	HL group cytoplasm,[cms-HL],[CMS-HL],CYTOPLASMIC MALE STERILITY HL, HL-group cytoplasm,HL型	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060153	[CMS-IR66707A],[cms-IR66707A]*,Oryza perennis Acc104823 cytoplasm, [cms-IR66707A],CYTOPLASMIC MALE STERILITY IR66707A, Oryza perennis Acc. 104823 cytoplasm	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060154	 [cms-Kalinga-I],CYTOPLASMIC MALE STERILITY KALINGA,[cms-Kalinga-I]*,Cytoplasmic controlled cold tolerance,[CMS-KALINGA-I]	GO:0009409,GO:0007275	TO:0000232,TO:0000303,TO:0000280	PO:0009082,PO:0020048,PO:0009005,PO:0025004,PO:0025025,PO:0009006,PO:0025007,PO:0009013,PO:0009011
Na	Na	GR:0060155	CYTOPLASMIC MALE STERILITY KHIABORO, [cms-Khiaboro],[CMS-KHIABORO],[cms-Khiaboro]*,'Khiaboro' cytoplasm	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060156	[CMS-ID], 'Lead rice' cytoplasm,[cms-ld],Lead rice型,Lead rice' cytoplasm,CYTOPLASMIC MALE STERILITY ID	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060158	 `MS577A' cytoplasm, 'MS577A' cytoplasm,[cms-sp]*, [cms-sp],MS577A cytoplasm,CYTOPLASMIC MALE STERILITY SP,[CMS-SP]	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060159	TA820' cytoplasm, `TA820' cytoplasm, 'TA820' cytoplasm,[CMS-TA],CYTOPLASMIC MALE STERILITY TA,[cms-TA],TA820型	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060162	UR102F' cytoplasm, 'UR102F' cytoplasm,[CMS-UR102],UR102F型, `UR102F' cytoplasm,CYTOPLASMIC MALE STERILITY UR102,[cms-UR102]*, [cms-UR102]	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060163	[cms-UR104]*,UR104F' cytoplasm,CYTOPLASMIC MALE STERILITY UR104, `UR104F' cytoplasm,[CMS-UR104], [cms-UR104], 'UR104F' cytoplasm,UR104F型	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060164	UR106F' cytoplasm, `UR106F' cytoplasm, 'UR106F' cytoplasm,CYTOPLASMIC MALE STERILITY UR106,UR106F型, [cms-UR106],[cms-UR106]*,[CMS-UR106]	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060160	CYTOPLASMIC MALE STERILITY UR27, `UR27F' cytoplasm,[cms-UR27]*,UR27F型, 'UR27F' cytoplasm,UR27F' cytoplasm, [cms-UR27],[CMS-UR27]	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060161	 [cms-UR89],[CMS-UR89],[cms-UR89]*,CYTOPLASMIC MALE STERILITY UR89, `UR89F' cytoplasm,UR89F' cytoplasm,UR89F型, 'UR89F' cytoplasm	GO:0007275	TO:0000232	PO:0009082,PO:0020048
